course_code,ace_id,course_name,last_verified,credits,category,retired,units,challenges,touchstones,knowledge_checks,milestones,standalone_final,pass_threshold,transfer_partners,sophia_slug
MATH1040,SOPH-0060,Calculus I,2026-08-05,4,Math,N,5,21,0,0,6,Y,70,93,calculus-i
MATH1001,SOPH-0001,College Algebra,2026-08-05,3,Math,N,5,22,0,0,6,Y,70,105,college-algebra
STAT0050,SOPH-0017,Foundations of Statistics,2026-08-05,2,Math,N,2,5,0,0,3,Y,70,51,foundations-of-statistics
MATH1020,SOPH-0055,Introduction to College Mathematics,2026-08-05,3,Math,N,5,15,0,0,6,Y,70,77,introduction-to-college-mathematics
STAT1001,SOPH-0005,Introduction to Statistics,2026-08-05,3,Math,N,5,20,0,0,6,Y,70,103,introduction-to-statistics
MATH1035,SOPH-0069,Precalculus,2026-08-05,3,Math,N,5,17,0,0,6,Y,70,84,precalculus
SCIE1050,SOPH-0073,Anatomy and Physiology I,2026-08-05,3,Science,N,4,17,0,0,5,Y,70,83,anatomy-and-physiology-i
SCIE1055,SOPH-0081,Anatomy and Physiology II,2026-08-05,3,Science,N,4,13,0,0,4,Y,70,72,anatomy-and-physiology-ii
HLTH1011,SOPH-0080,"Health, Fitness, and Wellness",2026-08-05,3,Science,N,4,13,1,0,5,Y,70,56,health-fitness-and-wellness
SCIE1020,SOPH-0002,Human Biology,2026-08-05,3,Science,N,6,21,0,0,7,Y,70,101,human-biology
CHEM1001,SOPH-0056,Introduction to Chemistry,2026-08-05,3,Science,N,4,12,0,0,4,Y,70,91,introduction-to-chemistry
HLTH1010,SOPH-0063,Introduction to Nutrition,2026-08-05,3,Science,N,4,17,0,0,4,Y,70,86,introduction-to-nutrition
SCIE1060,SOPH-0095,Introduction to Physics,2026-08-05,3,Science,N,6,18,0,0,7,Y,70,28,introduction-to-physics
HLTH1005,SOPH-0094,Medical Terminology,2026-08-05,3,Science,N,6,21,2,0,7,Y,70,36,medical-terminology
SCIE1045,SOPH-0074,Microbiology,2026-08-05,3,Science,N,5,19,0,0,6,Y,70,83,microbiology
HLTH1030,SOPH-0087,Public and Community Health,2026-08-05,3,Science,N,5,19,2,0,6,Y,70,57,public-and-community-health
ENVS1001,SOPH-0016,Environmental Science,2026-08-05,3,Science,N,4,13,1,4,5,Y,70,95,environmental-science
SOSC1050,SOPH-0084,Criminology,2026-08-05,3,Social Science,N,4,12,2,0,4,N,70,63,criminology
CRIM1001,SOPH-0090,Introduction to Criminal Justice,2026-08-05,3,Social Science,N,4,12,2,0,4,N,70,56,introduction-to-criminal-justice
EDUC1005,SOPH-0098,Introduction to Education,2026-07-24,3,Social Science,N,4,13,2,0,5,Y,70,14,introduction-to-education
PSYC1010,SOPH-0048,Introduction to Psychology,2026-08-05,3,Social Science,N,4,13,3,0,4,N,70,105,introduction-to-psychology
SOCI1010,SOPH-0051,Introduction to Sociology,2026-08-05,3,Social Science,N,4,12,2,0,4,N,70,105,introduction-to-sociology
HLTH1020,SOPH-0078,Lifespan Development,2026-08-05,3,Social Science,N,5,20,0,0,6,Y,70,76,lifespan-development
ECON1001,SOPH-0012,Macroeconomics,2026-08-05,3,Social Science,N,4,10,0,0,5,Y,70,99,macroeconomics
ECON1002,SOPH-0011,Microeconomics,2026-08-05,3,Social Science,N,3,12,0,0,4,Y,70,98,microeconomics
HIST1020,SOPH-0071,U.S. Government,2026-08-05,3,Social Science,N,4,17,2,0,5,Y,70,83,us-government
HIST1001,SOPH-0022,U.S. History I,2026-08-05,3,Social Science,N,4,12,2,0,5,Y,70,100,us-history-i
HIST1002,SOPH-0025,U.S. History II,2026-08-05,3,Social Science,N,4,17,2,0,5,Y,70,99,us-history-ii
